Bidding Exercise,Announcement Date,Year,Category,Quota,Quota Premium,Total Bids Received,Number of Successful Bids,,,,,,,,,,,
May 2005 Second Open Bidding Exercise,15/05/2005,2005,Cat B (Cars above 1600cc or 97kW),"1,100","$16,108","1,322","1,087",,,,,,,,,,,
May 2005 Second Open Bidding Exercise,15/05/2005,2005,Cat C (Goods vehicles and buses),588,"$5,900",719,583,,,,,,,,,,,
May 2005 Second Open Bidding Exercise,15/05/2005,2005,Cat D (Motorcycles),506,$782,700,506,,,,,,,,,,,
May 2005 Second Open Bidding Exercise,15/05/2005,2005,Cat E (Open),"1,150","$17,399","1,695","1,135",,,,,,,,,,,
June 2005 First Open Bidding Exercise,01/06/2005,2005,Cat A (Cars up to 1600cc and 97kW),"2,201","$17,481","2,873","2,174",,,,,,,,,,,
June 2005 First Open Bidding Exercise,01/06/2005,2005,Cat B (Cars above 1600cc or 97kW),"1,113","$16,002","1,346","1,099",,,,,,,,,,,
June 2005 First Open Bidding Exercise,01/06/2005,2005,Cat C (Goods vehicles and buses),589,"$6,450",712,587,,,,,,,,,,,
June 2005 First Open Bidding Exercise,01/06/2005,2005,Cat D (Motorcycles),609,$699,775,607,,,,,,,,,,,
June 2005 First Open Bidding Exercise,01/06/2005,2005,Cat E (Open),"1,151","$18,200","1,654","1,134",,,,,,,,,,,
June 2005 Second Open Bidding Exercise,15/06/2005,2005,Cat A (Cars up to 1600cc and 97kW),"2,196","$17,289","2,636","2,186",,,,,,,,,,,
June 2005 Second Open Bidding Exercise,15/06/2005,2005,Cat B (Cars above 1600cc or 97kW),"1,113","$15,001","1,299","1,099",,,,,,,,,,,
June 2005 Second Open Bidding Exercise,15/06/2005,2005,Cat C (Goods vehicles and buses),593,"$6,101",680,585,,,,,,,,,,,
June 2005 Second Open Bidding Exercise,15/06/2005,2005,Cat D (Motorcycles),506,$701,765,496,,,,,,,,,,,
June 2005 Second Open Bidding Exercise,15/06/2005,2005,Cat E (Open),"1,152","$17,999","1,538","1,108",,,,,,,,,,,
July 2005 First Open Bidding Exercise,01/07/2005,2005,Cat A (Cars up to 1600cc and 97kW),"2,220","$16,112","2,445","2,218",,,,,,,,,,,
July 2005 First Open Bidding Exercise,01/07/2005,2005,Cat B (Cars above 1600cc or 97kW),"1,114","$15,501","1,374","1,102",,,,,,,,,,,
July 2005 First Open Bidding Exercise,01/07/2005,2005,Cat C (Goods vehicles and buses),590,"$6,524",691,590,,,,,,,,,,,
July 2005 First Open Bidding Exercise,01/07/2005,2005,Cat D (Motorcycles),508,$752,602,475,,,,,,,,,,,
July 2005 First Open Bidding Exercise,01/07/2005,2005,Cat E (Open),"1,155","$17,199","1,534","1,139",,,,,,,,,,,
July 2005 Second Open Bidding Exercise,15/07/2005,2005,Cat A (Cars up to 1600cc and 97kW),"2,203","$16,500","2,758","2,197",,,,,,,,,,,
July 2005 Second Open Bidding Exercise,15/07/2005,2005,Cat B (Cars above 1600cc or 97kW),"1,114","$16,501","1,414","1,113",,,,,,,,,,,
July 2005 Second Open Bidding Exercise,15/07/2005,2005,Cat C (Goods vehicles and buses),596,"$6,501",715,585,,,,,,,,,,,
July 2005 Second Open Bidding Exercise,15/07/2005,2005,Cat D (Motorcycles),516,$652,666,432,,,,,,,,,,,
July 2005 Second Open Bidding Exercise,15/07/2005,2005,Cat E (Open),"1,181","$17,199","1,561","1,119",,,,,,,,,,,
August 2005 First Open Bidding Exercise,01/08/2005,2005,Cat A (Cars up to 1600cc and 97kW),"2,195","$16,502","2,843","2,194",,,,,,,,,,,
August 2005 First Open Bidding Exercise,01/08/2005,2005,Cat B (Cars above 1600cc or 97kW),"1,112","$15,889","1,318","1,103",,,,,,,,,,,
August 2005 First Open Bidding Exercise,01/08/2005,2005,Cat C (Goods vehicles and buses),588,"$6,500",723,588,,,,,,,,,,,
August 2005 First Open Bidding Exercise,01/08/2005,2005,Cat D (Motorcycles),539,$673,765,486,,,,,,,,,,,
August 2005 First Open Bidding Exercise,01/08/2005,2005,Cat E (Open),"1,154","$16,999","1,653","1,137",,,,,,,,,,,
August 2005 Second Open Bidding Exercise,15/08/2005,2005,Cat A (Cars up to 1600cc and 97kW),"2,199","$16,101","2,421","2,190",,,,,,,,,,,
August 2005 Second Open Bidding Exercise,15/08/2005,2005,Cat B (Cars above 1600cc or 97kW),"1,101","$16,303","1,412","1,093",,,,,,,,,,,
August 2005 Second Open Bidding Exercise,15/08/2005,2005,Cat C (Goods vehicles and buses),598,"$6,420",698,598,,,,,,,,,,,
August 2005 Second Open Bidding Exercise,15/08/2005,2005,Cat D (Motorcycles),590,$652,731,541,,,,,,,,,,,
August 2005 Second Open Bidding Exercise,15/08/2005,2005,Cat E (Open),"1,199","$16,296","1,575","1,197",,,,,,,,,,,
September 2005 First Open Bidding Exercise,01/09/2005,2005,Cat A (Cars up to 1600cc and 97kW),"2,194","$16,461","2,854","2,194",,,,,,,,,,,
September 2005 First Open Bidding Exercise,01/09/2005,2005,Cat B (Cars above 1600cc or 97kW),"1,109","$16,889","1,484","1,086",,,,,,,,,,,
September 2005 First Open Bidding Exercise,01/09/2005,2005,Cat C (Goods vehicles and buses),588,"$7,101",719,560,,,,,,,,,,,
September 2005 First Open Bidding Exercise,01/09/2005,2005,Cat D (Motorcycles),559,$656,715,552,,,,,,,,,,,
September 2005 First Open Bidding Exercise,01/09/2005,2005,Cat E (Open),"1,155","$16,699","1,558","1,133",,,,,,,,,,,
September 2005 Second Open Bidding Exercise,15/09/2005,2005,Cat A (Cars up to 1600cc and 97kW),"2,202","$15,309","2,428","2,179",,,,,,,,,,,
September 2005 Second Open Bidding Exercise,15/09/2005,2005,Cat B (Cars above 1600cc or 97kW),"1,108","$14,808","1,270","1,106",,,,,,,,,,,
September 2005 Second Open Bidding Exercise,15/09/2005,2005,Cat C (Goods vehicles and buses),587,"$7,264",679,587,,,,,,,,,,,
September 2005 Second Open Bidding Exercise,15/09/2005,2005,Cat D (Motorcycles),555,$590,778,553,,,,,,,,,,,
September 2005 Second Open Bidding Exercise,15/09/2005,2005,Cat E (Open),"1,139","$15,699","1,433","1,092",,,,,,,,,,,
October 2005 First Open Bidding Exercise,01/10/2005,2005,Cat A (Cars up to 1600cc and 97kW),"2,785","$11,991","3,188","2,784",,,,,,,,,,,
October 2005 First Open Bidding Exercise,01/10/2005,2005,Cat B (Cars above 1600cc or 97kW),"1,288","$11,002","1,485","1,288",,,,,,,,,,,
October 2005 First Open Bidding Exercise,01/10/2005,2005,Cat C (Goods vehicles and buses),616,"$7,334",741,616,,,,,,,,,,,
October 2005 First Open Bidding Exercise,01/10/2005,2005,Cat D (Motorcycles),513,$551,627,513,,,,,,,,,,,
October 2005 First Open Bidding Exercise,01/10/2005,2005,Cat E (Open),"1,417","$12,000","1,706","1,352",,,,,,,,,,,
October 2005 Second Open Bidding Exercise,15/10/2005,2005,Cat A (Cars up to 1600cc and 97kW),"2,808","$14,501","5,927","2,759",,,,,,,,,,,
October 2005 Second Open Bidding Exercise,15/10/2005,2005,Cat B (Cars above 1600cc or 97kW),"1,267","$14,101","2,046","1,250",,,,,,,,,,,
October 2005 Second Open Bidding Exercise,15/10/2005,2005,Cat C (Goods vehicles and buses),587,"$7,911",730,587,,,,,,,,,,,
October 2005 Second Open Bidding Exercise,15/10/2005,2005,Cat D (Motorcycles),508,$571,640,507,,,,,,,,,,,
October 2005 Second Open Bidding Exercise,15/10/2005,2005,Cat E (Open),"1,441","$14,503","2,115","1,427",,,,,,,,,,,
November 2005 First Open Bidding Exercise,01/11/2005,2005,Cat A (Cars up to 1600cc and 97kW),"2,786","$14,700","5,624","2,779",,,,,,,,,,,
November 2005 First Open Bidding Exercise,01/11/2005,2005,Cat B (Cars above 1600cc or 97kW),"1,265","$14,751","2,086","1,263",,,,,,,,,,,
November 2005 First Open Bidding Exercise,01/11/2005,2005,Cat C (Goods vehicles and buses),588,"$8,889",872,582,,,,,,,,,,,
November 2005 First Open Bidding Exercise,01/11/2005,2005,Cat D (Motorcycles),506,$602,585,478,,,,,,,,,,,
November 2005 First Open Bidding Exercise,01/11/2005,2005,Cat E (Open),"1,460","$14,801","1,905","1,441",,,,,,,,,,,
November 2005 Second Open Bidding Exercise,15/11/2005,2005,Cat A (Cars up to 1600cc and 97kW),"2,834","$14,001","4,781","2,761",,,,,,,,,,,
November 2005 Second Open Bidding Exercise,15/11/2005,2005,Cat B (Cars above 1600cc or 97kW),"1,282","$14,897","1,692","1,276",,,,,,,,,,,
November 2005 Second Open Bidding Exercise,15/11/2005,2005,Cat C (Goods vehicles and buses),587,"$8,711",717,587,,,,,,,,,,,
November 2005 Second Open Bidding Exercise,15/11/2005,2005,Cat D (Motorcycles),507,$579,653,503,,,,,,,,,,,
November 2005 Second Open Bidding Exercise,15/11/2005,2005,Cat E (Open),"1,408","$14,505","2,002","1,408",,,,,,,,,,,
December 2005 First Open Bidding Exercise,01/12/2005,2005,Cat A (Cars up to 1600cc and 97kW),"2,792","$13,700","4,171","2,790",,,,,,,,,,,
December 2005 First Open Bidding Exercise,01/12/2005,2005,Cat B (Cars above 1600cc or 97kW),"1,267","$13,301","1,499","1,255",,,,,,,,,,,
December 2005 First Open Bidding Exercise,01/12/2005,2005,Cat C (Goods vehicles and buses),594,"$8,501",694,575,,,,,,,,,,,
December 2005 First Open Bidding Exercise,01/12/2005,2005,Cat D (Motorcycles),534,$554,671,527,,,,,,,,,,,
December 2005 First Open Bidding Exercise,01/12/2005,2005,Cat E (Open),"1,414","$14,200","2,112","1,406",,,,,,,,,,,
December 2005 Second Open Bidding Exercise,15/12/2005,2005,Cat A (Cars up to 1600cc and 97kW),"2,858","$12,081","3,309","2,858",,,,,,,,,,,
December 2005 Second Open Bidding Exercise,15/12/2005,2005,Cat B (Cars above 1600cc or 97kW),"1,271","$9,001","1,386","1,261",,,,,,,,,,,
December 2005 Second Open Bidding Exercise,15/12/2005,2005,Cat C (Goods vehicles and buses),587,"$5,010",672,579,,,,,,,,,,,
December 2005 Second Open Bidding Exercise,15/12/2005,2005,Cat D (Motorcycles),510,$552,569,485,,,,,,,,,,,
December 2005 Second Open Bidding Exercise,15/12/2005,2005,Cat E (Open),"1,394","$13,302","1,927","1,386",,,,,,,,,,,
January 2004 First Open Bidding Exercise,01/01/2004,2004,Cat A (Cars up to 1600cc and 97kW),"1,919","$23,801","2,549","1,913",,,,,,,,,,,
January 2004 First Open Bidding Exercise,01/01/2004,2004,Cat B (Cars above 1600cc or 97kW),"1,158","$24,293","1,516","1,158",,,,,,,,,,,
January 2004 First Open Bidding Exercise,01/01/2004,2004,Cat C (Goods vehicles and buses),688,"$6,119",808,688,,,,,,,,,,,
January 2004 First Open Bidding Exercise,01/01/2004,2004,Cat D (Motorcycles),562,$251,892,562,,,,,,,,,,,
January 2004 First Open Bidding Exercise,01/01/2004,2004,Cat E (Open),"1,162","$24,019","1,655","1,145",,,,,,,,,,,
January 2004 Second Open Bidding Exercise,15/01/2004,2004,Cat A (Cars up to 1600cc and 97kW),"1,912","$24,001","2,616","1,898",,,,,,,,,,,
January 2004 Second Open Bidding Exercise,15/01/2004,2004,Cat B (Cars above 1600cc or 97kW),"1,160","$22,002","1,468","1,154",,,,,,,,,,,
January 2004 Second Open Bidding Exercise,15/01/2004,2004,Cat C (Goods vehicles and buses),717,"$5,502",956,716,,,,,,,,,,,
January 2004 Second Open Bidding Exercise,15/01/2004,2004,Cat D (Motorcycles),700,$210,"1,116",695,,,,,,,,,,,
January 2004 Second Open Bidding Exercise,15/01/2004,2004,Cat E (Open),"1,152","$22,801","1,724","1,150",,,,,,,,,,,
February 2004 First Open Bidding Exercise,01/02/2004,2004,Cat A (Cars up to 1600cc and 97kW),"1,917","$24,489","2,701","1,905",,,,,,,,,,,
February 2004 First Open Bidding Exercise,01/02/2004,2004,Cat B (Cars above 1600cc or 97kW),"1,156","$23,508","1,474","1,149",,,,,,,,,,,
February 2004 First Open Bidding Exercise,01/02/2004,2004,Cat C (Goods vehicles and buses),688,"$5,497",804,688,,,,,,,,,,,
February 2004 First Open Bidding Exercise,01/02/2004,2004,Cat D (Motorcycles),557,$189,816,554,,,,,,,,,,,
February 2004 First Open Bidding Exercise,01/02/2004,2004,Cat E (Open),"1,170","$24,016","1,678","1,164",,,,,,,,,,,
February 2004 Second Open Bidding Exercise,15/02/2004,2004,Cat A (Cars up to 1600cc and 97kW),"1,925","$24,389","2,534","1,917",,,,,,,,,,,
February 2004 Second Open Bidding Exercise,15/02/2004,2004,Cat B (Cars above 1600cc or 97kW),"1,162","$22,001","1,404","1,158",,,,,,,,,,,
February 2004 Second Open Bidding Exercise,15/02/2004,2004,Cat C (Goods vehicles and buses),689,"$5,700",802,678,,,,,,,,,,,
February 2004 Second Open Bidding Exercise,15/02/2004,2004,Cat D (Motorcycles),561,$169,694,530,,,,,,,,,,,
February 2004 Second Open Bidding Exercise,15/02/2004,2004,Cat E (Open),"1,154","$23,801","1,402","1,150",,,,,,,,,,,
March 2004 First Open Bidding Exercise,01/03/2004,2004,Cat A (Cars up to 1600cc and 97kW),"1,923","$24,597","2,539","1,920",,,,,,,,,,,
March 2004 First Open Bidding Exercise,01/03/2004,2004,Cat B (Cars above 1600cc or 97kW),"1,163","$25,699","1,516","1,147",,,,,,,,,,,
March 2004 First Open Bidding Exercise,01/03/2004,2004,Cat C (Goods vehicles and buses),688,"$7,226",980,681,,,,,,,,,,,
March 2004 First Open Bidding Exercise,01/03/2004,2004,Cat D (Motorcycles),560,$203,740,523,,,,,,,,,,,
March 2004 First Open Bidding Exercise,01/03/2004,2004,Cat E (Open),"1,159","$25,492","1,615","1,148",,,,,,,,,,,
March 2004 Second Open Bidding Exercise,15/03/2004,2004,Cat A (Cars up to 1600cc and 97kW),"1,919","$24,940","2,613","1,905",,,,,,,,,,,
March 2004 Second Open Bidding Exercise,15/03/2004,2004,Cat B (Cars above 1600cc or 97kW),"1,160","$25,058","1,445","1,153",,,,,,,,,,,
March 2004 Second Open Bidding Exercise,15/03/2004,2004,Cat C (Goods vehicles and buses),699,"$8,658","1,071",694,,,,,,,,,,,
March 2004 Second Open Bidding Exercise,15/03/2004,2004,Cat D (Motorcycles),587,$456,"1,070",583,,,,,,,,,,,
March 2004 Second Open Bidding Exercise,15/03/2004,2004,Cat E (Open),"1,156","$26,401","1,481","1,135",,,,,,,,,,,
April 2004 First Open Bidding Exercise,01/04/2004,2004,Cat A (Cars up to 1600cc and 97kW),"1,937","$26,689","3,386","1,928",,,,,,,,,,,
April 2004 First Open Bidding Exercise,01/04/2004,2004,Cat B (Cars above 1600cc or 97kW),949,"$28,001","1,350",948,,,,,,,,,,,
April 2004 First Open Bidding Exercise,01/04/2004,2004,Cat C (Goods vehicles and buses),638,"$12,809","1,042",616,,,,,,,,,,,
April 2004 First Open Bidding Exercise,01/04/2004,2004,Cat D (Motorcycles),537,$851,"1,181",530,,,,,,,,,,,
April 2004 First Open Bidding Exercise,01/04/2004,2004,Cat E (Open),"1,039","$28,339","1,500","1,030",,,,,,,,,,,
April 2004 Second Open Bidding Exercise,15/04/2004,2004,Cat A (Cars up to 1600cc and 97kW),"1,947","$27,564","3,042","1,947",,,,,,,,,,,
April 2004 Second Open Bidding Exercise,15/04/2004,2004,Cat B (Cars above 1600cc or 97kW),939,"$28,022","1,347",939,,,,,,,,,,,
April 2004 Second Open Bidding Exercise,15/04/2004,2004,Cat C (Goods vehicles and buses),635,"$15,202",907,634,,,,,,,,,,,
April 2004 Second Open Bidding Exercise,15/04/2004,2004,Cat D (Motorcycles),503,$853,840,488,,,,,,,,,,,
April 2004 Second Open Bidding Exercise,15/04/2004,2004,Cat E (Open),"1,048","$28,108","1,439","1,043",,,,,,,,,,,
May 2004 First Open Bidding Exercise,01/05/2004,2004,Cat A (Cars up to 1600cc and 97kW),"1,943","$27,507","2,565","1,943",,,,,,,,,,,
May 2004 First Open Bidding Exercise,01/05/2004,2004,Cat B (Cars above 1600cc or 97kW),934,"$26,700","1,192",930,,,,,,,,,,,
May 2004 First Open Bidding Exercise,01/05/2004,2004,Cat C (Goods vehicles and buses),653,"$13,089",853,639,,,,,,,,,,,
May 2004 First Open Bidding Exercise,01/05/2004,2004,Cat D (Motorcycles),507,$803,912,503,,,,,,,,,,,
May 2004 First Open Bidding Exercise,01/05/2004,2004,Cat E (Open),"1,037","$28,000","1,372","1,033",,,,,,,,,,,
May 2004 Second Open Bidding Exercise,15/05/2004,2004,Cat A (Cars up to 1600cc and 97kW),"1,933","$27,501","2,236","1,922",,,,,,,,,,,
May 2004 Second Open Bidding Exercise,15/05/2004,2004,Cat B (Cars above 1600cc or 97kW),932,"$27,990","1,175",932,,,,,,,,,,,
May 2004 Second Open Bidding Exercise,15/05/2004,2004,Cat C (Goods vehicles and buses),631,"$11,101",839,624,,,,,,,,,,,
May 2004 Second Open Bidding Exercise,15/05/2004,2004,Cat D (Motorcycles),514,$801,"1,301",263,,,,,,,,,,,
May 2004 Second Open Bidding Exercise,15/05/2004,2004,Cat E (Open),"1,032","$28,101","1,489","1,029",,,,,,,,,,,
June 2004 First Open Bidding Exercise,01/06/2004,2004,Cat A (Cars up to 1600cc and 97kW),"1,934","$28,798","2,722","1,927",,,,,,,,,,,
June 2004 First Open Bidding Exercise,01/06/2004,2004,Cat B (Cars above 1600cc or 97kW),937,"$30,300","1,374",930,,,,,,,,,,,
June 2004 First Open Bidding Exercise,01/06/2004,2004,Cat C (Goods vehicles and buses),645,"$9,003",879,640,,,,,,,,,,,
June 2004 First Open Bidding Exercise,01/06/2004,2004,Cat D (Motorcycles),504,"$1,001",829,295,,,,,,,,,,,
June 2004 First Open Bidding Exercise,01/06/2004,2004,Cat E (Open),"1,032","$30,301","1,473","1,019",,,,,,,,,,,
June 2004 Second Open Bidding Exercise,15/06/2004,2004,Cat A (Cars up to 1600cc and 97kW),"1,944","$28,331","2,302","1,944",,,,,,,,,,,
June 2004 Second Open Bidding Exercise,15/06/2004,2004,Cat B (Cars above 1600cc or 97kW),932,"$30,400","1,217",932,,,,,,,,,,,
June 2004 Second Open Bidding Exercise,15/06/2004,2004,Cat C (Goods vehicles and buses),637,"$8,989",801,635,,,,,,,,,,,
June 2004 Second Open Bidding Exercise,15/06/2004,2004,Cat D (Motorcycles),750,$722,"1,199",746,,,,,,,,,,,
June 2004 Second Open Bidding Exercise,15/06/2004,2004,Cat E (Open),"1,030","$29,999","1,585",946,,,,,,,,,,,
July 2004 First Open Bidding Exercise,01/07/2004,2004,Cat A (Cars up to 1600cc and 97kW),"1,941","$27,769","2,193","1,941",,,,,,,,,,,
July 2004 First Open Bidding Exercise,01/07/2004,2004,Cat B (Cars above 1600cc or 97kW),940,"$28,990","1,154",933,,,,,,,,,,,
July 2004 First Open Bidding Exercise,01/07/2004,2004,Cat C (Goods vehicles and buses),636,"$8,626",804,617,,,,,,,,,,,
July 2004 First Open Bidding Exercise,01/07/2004,2004,Cat D (Motorcycles),709,$658,"1,006",700,,,,,,,,,,,
July 2004 First Open Bidding Exercise,01/07/2004,2004,Cat E (Open),"1,041","$28,499","1,411","1,031",,,,,,,,,,,
July 2004 Second Open Bidding Exercise,15/07/2004,2004,Cat A (Cars up to 1600cc and 97kW),"1,933","$27,019","2,104","1,928",,,,,,,,,,,
July 2004 Second Open Bidding Exercise,15/07/2004,2004,Cat B (Cars above 1600cc or 97kW),932,"$27,001","1,107",915,,,,,,,,,,,
July 2004 Second Open Bidding Exercise,15/07/2004,2004,Cat C (Goods vehicles and buses),632,"$8,503",837,631,,,,,,,,,,,
July 2004 Second Open Bidding Exercise,15/07/2004,2004,Cat D (Motorcycles),503,$551,913,490,,,,,,,,,,,
July 2004 Second Open Bidding Exercise,15/07/2004,2004,Cat E (Open),"1,111","$27,792","1,436","1,104",,,,,,,,,,,
August 2004 First Open Bidding Exercise,01/08/2004,2004,Cat A (Cars up to 1600cc and 97kW),"1,934","$26,298","2,145","1,932",,,,,,,,,,,
August 2004 First Open Bidding Exercise,01/08/2004,2004,Cat B (Cars above 1600cc or 97kW),940,"$27,086","1,095",938,,,,,,,,,,,
August 2004 First Open Bidding Exercise,01/08/2004,2004,Cat C (Goods vehicles and buses),650,"$8,192",823,650,,,,,,,,,,,
August 2004 First Open Bidding Exercise,01/08/2004,2004,Cat D (Motorcycles),509,$652,899,499,,,,,,,,,,,
August 2004 First Open Bidding Exercise,01/08/2004,2004,Cat E (Open),"1,038","$27,295","1,365","1,035",,,,,,,,,,,
August 2004 Second Open Bidding Exercise,15/08/2004,2004,Cat A (Cars up to 1600cc and 97kW),"1,938","$25,797","2,237","1,932",,,,,,,,,,,
August 2004 Second Open Bidding Exercise,15/08/2004,2004,Cat B (Cars above 1600cc or 97kW),949,"$26,301","1,065",947,,,,,,,,,,,
August 2004 Second Open Bidding Exercise,15/08/2004,2004,Cat C (Goods vehicles and buses),631,"$7,300",772,629,,,,,,,,,,,
August 2004 Second Open Bidding Exercise,15/08/2004,2004,Cat D (Motorcycles),512,$564,787,511,,,,,,,,,,,
August 2004 Second Open Bidding Exercise,15/08/2004,2004,Cat E (Open),"1,034","$26,401","1,378","1,032",,,,,,,,,,,
September 2004 First Open Bidding Exercise,01/09/2004,2004,Cat A (Cars up to 1600cc and 97kW),"1,936","$26,801","2,628","1,927",,,,,,,,,,,
September 2004 First Open Bidding Exercise,01/09/2004,2004,Cat B (Cars above 1600cc or 97kW),934,"$27,799","1,214",926,,,,,,,,,,,
September 2004 First Open Bidding Exercise,01/09/2004,2004,Cat C (Goods vehicles and buses),631,"$7,500",743,626,,,,,,,,,,,
September 2004 First Open Bidding Exercise,01/09/2004,2004,Cat D (Motorcycles),509,$701,874,501,,,,,,,,,,,
September 2004 First Open Bidding Exercise,01/09/2004,2004,Cat E (Open),"1,031","$27,500","1,580","1,027",,,,,,,,,,,
September 2004 Second Open Bidding Exercise,15/09/2004,2004,Cat A (Cars up to 1600cc and 97kW),"1,939","$24,189","2,126","1,937",,,,,,,,,,,
September 2004 Second Open Bidding Exercise,15/09/2004,2004,Cat B (Cars above 1600cc or 97kW),934,"$26,101","1,129",934,,,,,,,,,,,
September 2004 Second Open Bidding Exercise,15/09/2004,2004,Cat C (Goods vehicles and buses),632,"$6,797",710,626,,,,,,,,,,,
September 2004 Second Open Bidding Exercise,15/09/2004,2004,Cat D (Motorcycles),500,$699,649,496,,,,,,,,,,,
September 2004 Second Open Bidding Exercise,15/09/2004,2004,Cat E (Open),"1,029","$26,199","1,300",984,,,,,,,,,,,
October 2004 First Open Bidding Exercise,01/10/2004,2004,Cat A (Cars up to 1600cc and 97kW),"2,523","$23,001","3,106","2,522",,,,,,,,,,,
October 2004 First Open Bidding Exercise,01/10/2004,2004,Cat B (Cars above 1600cc or 97kW),"1,145","$23,001","1,505","1,145",,,,,,,,,,,
